Data,Kurs średni,Zmiana
10/02/2020,4.2699,0.08
07/02/2020,4.2664,0.3
06/02/2020,4.2535,-0.2
05/02/2020,4.262,-0.58
04/02/2020,4.2867,-0.39
03/02/2020,4.3034,0.06
31/01/2020,4.301,0.46
30/01/2020,4.2813,0.11
29/01/2020,4.2766,-0.07
28/01/2020,4.2794,0.27
27/01/2020,4.2679,0.51
24/01/2020,4.2461,0
23/01/2020,4.2463,0.22
22/01/2020,4.237,-0.21
21/01/2020,4.2459,0.03
20/01/2020,4.2447,0.24
17/01/2020,4.2344,-0.01
16/01/2020,4.2348,0.16
15/01/2020,4.2279,-0.1
14/01/2020,4.2323,-0.07
13/01/2020,4.2353,-0.27
10/01/2020,4.2467,0.02
09/01/2020,4.2459,-0.01
08/01/2020,4.2465,0.28
07/01/2020,4.2347,-0.52
03/01/2020,4.2569,0
02/01/2020,4.2571,-0.03
31/12/2019,4.2585,-0.01
30/12/2019,4.2588,-0.08
27/12/2019,4.2624,0
24/12/2019,4.2624,0.16
23/12/2019,4.2554,-0.12
20/12/2019,4.2604,-0.07
19/12/2019,4.2632,-0.03
18/12/2019,4.2644,0.09
17/12/2019,4.2605,-0.13
16/12/2019,4.2659,-0.21
13/12/2019,4.2747,-0.23
12/12/2019,4.2846,-0.01
11/12/2019,4.2851,-0.07
10/12/2019,4.288,0.12
09/12/2019,4.283,0.26
06/12/2019,4.2721,-0.13
05/12/2019,4.2777,-0.04
04/12/2019,4.2792,-0.25
03/12/2019,4.29,-0.25
02/12/2019,4.3008,-0.53
29/11/2019,4.3236,0.01
28/11/2019,4.323,0.29
27/11/2019,4.3107,0.25
26/11/2019,4.2999,0.02
25/11/2019,4.299,0.03
22/11/2019,4.2975,0.06
21/11/2019,4.2948,0.07
20/11/2019,4.2917,-0.03
19/11/2019,4.2928,0.1
18/11/2019,4.2884,0.18
15/11/2019,4.2807,-0.25
14/11/2019,4.2916,0.15
13/11/2019,4.285,0.14
12/11/2019,4.2788,0.35
08/11/2019,4.2638,-0.04
07/11/2019,4.2653,-0.1
06/11/2019,4.2697,0.15
05/11/2019,4.2631,0.22
04/11/2019,4.2539,-0.18
31/10/2019,4.2617,-0.09
30/10/2019,4.2655,-0.24
29/10/2019,4.2757,0.06
28/10/2019,4.2732,-0.07
25/10/2019,4.2762,-0.09
24/10/2019,4.28,0.05
23/10/2019,4.2778,-0.03
22/10/2019,4.2792,0.04
21/10/2019,4.2775,-0.16
18/10/2019,4.2844,-0.01
17/10/2019,4.2849,-0.28
16/10/2019,4.297,0.05
15/10/2019,4.2949,-0.05
14/10/2019,4.2969,-0.3
11/10/2019,4.3097,-0.28
10/10/2019,4.3217,-0.09
09/10/2019,4.3257,-0.12
08/10/2019,4.331,0.01
07/10/2019,4.3304,-0.02
04/10/2019,4.3311,-0.38
03/10/2019,4.3475,-0.71
02/10/2019,4.3788,0.12
01/10/2019,4.3734,0
30/09/2019,4.3736,-0.3
27/09/2019,4.3866,0.01
26/09/2019,4.3861,0.04
25/09/2019,4.3844,0.11
24/09/2019,4.3796,-0.22
23/09/2019,4.3891,1.04
20/09/2019,4.3438,0.03
19/09/2019,4.3425,0.01
18/09/2019,4.3419,0.02
17/09/2019,4.341,0.34
16/09/2019,4.3262,-0.31
13/09/2019,4.3396,-0.01
12/09/2019,4.34,0.1
11/09/2019,4.3357,0.02
10/09/2019,4.335,-0.05
09/09/2019,4.3373,-0.04
06/09/2019,4.3392,-0.04
05/09/2019,4.3409,0.06
04/09/2019,4.3385,-0.65
03/09/2019,4.3667,-0.05
02/09/2019,4.3691,-0.35
30/08/2019,4.3844,0
29/08/2019,4.3845,-0.03
28/08/2019,4.3857,0.4
27/08/2019,4.3684,-0.08
26/08/2019,4.3719,0.34
23/08/2019,4.3572,-0.2
22/08/2019,4.366,0.34
21/08/2019,4.3513,-0.33
20/08/2019,4.3656,0.31
19/08/2019,4.3519,-0.06
16/08/2019,4.3543,0.18
14/08/2019,4.3463,0.31
13/08/2019,4.3327,0.15
12/08/2019,4.3262,0.09
09/08/2019,4.3225,0.01
08/08/2019,4.322,0.06
07/08/2019,4.3194,0.23
06/08/2019,4.3096,-0.2
05/08/2019,4.3182,0.23
02/08/2019,4.3085,0.36
01/08/2019,4.2931,0.05
31/07/2019,4.2911,0.01
30/07/2019,4.2906,0.31
29/07/2019,4.2773,0.3
26/07/2019,4.2645,0.31
25/07/2019,4.2514,-0.16
24/07/2019,4.2581,0.21
23/07/2019,4.2492,0.03
22/07/2019,4.248,-0.26
19/07/2019,4.2592,-0.1
18/07/2019,4.2635,-0.02
17/07/2019,4.2644,0.15
16/07/2019,4.2582,-0.21
15/07/2019,4.2673,0.01
12/07/2019,4.2669,-0.03
11/07/2019,4.2682,-0.11
10/07/2019,4.2729,0.22
09/07/2019,4.2637,0.28
08/07/2019,4.2519,0.17
05/07/2019,4.2445,0.04
04/07/2019,4.2427,-0.04
03/07/2019,4.2442,-0.04
02/07/2019,4.2457,0.12
01/07/2019,4.2406,-0.27
28/06/2019,4.252,-0.1
27/06/2019,4.2561,-0.19
26/06/2019,4.2642,0.21
25/06/2019,4.2554,0.04
24/06/2019,4.2538,-0.2
21/06/2019,4.2622,-0.12
19/06/2019,4.2673,0.1
18/06/2019,4.2631,0.08
17/06/2019,4.2599,0.11
14/06/2019,4.2554,-0.13
13/06/2019,4.261,-0.09
12/06/2019,4.265,-0.06
11/06/2019,4.2675,0.08
10/06/2019,4.264,-0.29
07/06/2019,4.2762,-0.05
06/06/2019,4.2783,0
05/06/2019,4.2782,-0.01
04/06/2019,4.2788,-0.05
03/06/2019,4.2809,-0.25
31/05/2019,4.2916,-0.01
30/05/2019,4.2919,-0.2
29/05/2019,4.3007,0.09
28/05/2019,4.2967,0.03
27/05/2019,4.2952,-0.09
24/05/2019,4.2989,-0.27
23/05/2019,4.3107,0.02
22/05/2019,4.3098,0.1
21/05/2019,4.3055,0.14
20/05/2019,4.2995,-0.18
17/05/2019,4.3072,0.33
16/05/2019,4.2929,-0.46
15/05/2019,4.3128,0.1
14/05/2019,4.3085,0.13
13/05/2019,4.3029,0.17
10/05/2019,4.2955,-0.05
09/05/2019,4.2977,0.15
08/05/2019,4.2914,0.13
07/05/2019,4.2858,0.03
06/05/2019,4.2847,0.12
02/05/2019,4.2795,-0.27
30/04/2019,4.2911,-0.09
29/04/2019,4.295,0.1
26/04/2019,4.2906,-0.12
25/04/2019,4.2959,0.15
24/04/2019,4.2895,0.02
23/04/2019,4.2886,0.2
19/04/2019,4.2802,0.03
18/04/2019,4.279,0.09
17/04/2019,4.275,0.03
16/04/2019,4.2737,-0.08
15/04/2019,4.277,-0.18
12/04/2019,4.2847,0.06
11/04/2019,4.2821,-0.07
10/04/2019,4.2852,-0.04
09/04/2019,4.2871,-0.06
08/04/2019,4.2897,-0.06
05/04/2019,4.2921,0
04/04/2019,4.2921,-0.05
03/04/2019,4.2941,-0.15
02/04/2019,4.3004,-0.07
01/04/2019,4.3035,0.05
29/03/2019,4.3013,0.03
28/03/2019,4.2998,0.02
27/03/2019,4.2991,0.05
26/03/2019,4.297,-0.02
25/03/2019,4.2978,0.2
22/03/2019,4.2894,0.06
21/03/2019,4.287,0.01
20/03/2019,4.2864,-0.18
19/03/2019,4.294,-0.12
18/03/2019,4.2993,-0.1
15/03/2019,4.3037,0.05
14/03/2019,4.3015,0.02
13/03/2019,4.3006,0.07
12/03/2019,4.2976,-0.02
11/03/2019,4.2983,-0.2
08/03/2019,4.3068,0.11
07/03/2019,4.3019,0.06
06/03/2019,4.2992,-0.06
05/03/2019,4.3018,0.08
04/03/2019,4.2984,-0.22
01/03/2019,4.3079,-0.1
28/02/2019,4.312,-0.12
27/02/2019,4.3173,-0.38
26/02/2019,4.3338,-0.15
25/02/2019,4.3402,0.03
22/02/2019,4.3387,0.15
21/02/2019,4.3322,-0.11
20/02/2019,4.3371,0.16
19/02/2019,4.3303,-0.03
18/02/2019,4.3317,0.17
15/02/2019,4.3243,-0.35
14/02/2019,4.3394,0.19
13/02/2019,4.3312,0.1
12/02/2019,4.3268,0.22
11/02/2019,4.3172,0.21
08/02/2019,4.3082,0.15
07/02/2019,4.3019,0.19
06/02/2019,4.2936,0.16
05/02/2019,4.2869,0.13
04/02/2019,4.2813,0.25
01/02/2019,4.2706,-0.22
31/01/2019,4.2802,-0.35
30/01/2019,4.2952,-0.05
29/01/2019,4.2974,0.21
28/01/2019,4.2885,-0.12
25/01/2019,4.2935,-0.02
24/01/2019,4.2942,0.17
23/01/2019,4.2867,0.01
22/01/2019,4.2862,-0.15
21/01/2019,4.2928,-0.08
18/01/2019,4.2964,0.21
17/01/2019,4.2875,-0.13
16/01/2019,4.2929,0.02
15/01/2019,4.2922,-0.03
14/01/2019,4.2936,-0.05
11/01/2019,4.2957,-0.23
10/01/2019,4.3055,0.15
09/01/2019,4.2989,-0.06
08/01/2019,4.3013,0.06
07/01/2019,4.2989,-0.07
04/01/2019,4.3018,-0.03
03/01/2019,4.303,0.03
02/01/2019,4.3016,0.04
31/12/2018,4.3,0.07
28/12/2018,4.2969,0.25
27/12/2018,4.286,0.07
24/12/2018,4.2832,-0.13
21/12/2018,4.2889,0.09
20/12/2018,4.2849,0.01
19/12/2018,4.2846,-0.02
18/12/2018,4.2853,-0.12
